trio	role	accession	annotation_source	package_filename	bytes	sha256	url
lenEdo	ingroup B	GCA_028011325.1	GenBank (JGI annotated)	lenEdo_ingroupB_CDS.gff.gz	3413016	8f4fc994538ce714a34c7ce516cae91584da0c4cd7b58689c03a130f9b056d03	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/011/325/GCA_028011325.1_Lenlat1/GCA_028011325.1_Lenlat1_genomic.gff.gz
lenEdo	ingroup C	GCA_027921425.1	GenBank (JGI annotated)	lenEdo_ingroupC_CDS.gff.gz	3239408	25cc31957c4e294f043c0ff7f2f2a8f235b1a5f414feee8ef1f84c9b3e96a4b0	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/921/425/GCA_027921425.1_Lennov1/GCA_027921425.1_Lennov1_genomic.gff.gz
puffer	ingroup B	GCF_003711565.1	RefSeq	puffer_ingroupB_CDS.gff.gz	16724963	44e13609dda7b84b0d61c4453c3457d46e3441424775fefafdd310b0a70c3f86	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/711/565/GCF_003711565.1_ASM371156v2/GCF_003711565.1_ASM371156v2_genomic.gff.gz
puffer	ingroup C	GCA_004026145.2	GenBank (annotated)	puffer_ingroupC_CDS.gff.gz	5242307	64258d69caa243542abac575830081ccd67f2c84857df82f5ffa01fa08b2f129	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/145/GCA_004026145.2_XU_Tbim_1.0/GCA_004026145.2_XU_Tbim_1.0_genomic.gff.gz
styPis	ingroup B	GCF_036669915.1	RefSeq	styPis_ingroupB_CDS.gff.gz	10732565	9450c26bf3cecf194bcc2ed17a0216da83c90b45814b8f8bc1ebe013e8347b9c	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/669/915/GCF_036669915.1_ASM3666991v2/GCF_036669915.1_ASM3666991v2_genomic.gff.gz
styPis	ingroup C	GCF_003704095.1	RefSeq	styPis_ingroupC_CDS.gff.gz	7941679	aef74ca88ea0031d03e3be4e019d275eef6b11e77c3475842a389091a0da9cca	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/704/095/GCF_003704095.1_ASM370409v1/GCF_003704095.1_ASM370409v1_genomic.gff.gz
