trio,min_non_gap,nonCodingIncluded,codingStrandConsistent,strandContradictions,insufficientEvidence,total_runs,classified_runs,blocks_seen,blocks_lt3
lenEdo,1,11852,58921,113,59,70945,70886,6085,0
lenEdo,10,10283,57972,98,2592,70945,68353,6085,0
lenEdo,30,7914,54129,90,8812,70945,62133,6085,0
puffer,1,44427,177111,27,78,221643,221565,37763,0
puffer,10,42368,175159,25,4091,221643,217552,37763,0
puffer,30,38529,171086,22,12006,221643,209637,37763,0
styPis,1,18294,138415,47,76,156832,156756,122217,0
styPis,10,15547,135927,44,5314,156832,151518,122217,0
styPis,30,11888,131329,36,13579,156832,143253,122217,0
